id,Order ID,Amount,Profit,Quantity,Category,Sub-Category
1,B25601,1275,-1148,7,Furniture,Bookcases
2,B25601,66,-12,5,Clothing,Stole
3,B25601,8,-2,3,Clothing,Hankerchief
4,B25601,80,-56,4,Electronics,Electronic Games
5,B25602,168,-111,2,Electronics,Phones
6,B25602,424,-272,5,Electronics,Phones
7,B25602,2617,1151,4,Electronics,Phones
8,B25602,561,212,3,Clothing,Saree
9,B25602,119,-5,8,Clothing,Saree
10,B25603,1355,-60,5,Clothing,Trousers
11,B25603,24,-30,1,Furniture,Chairs
12,B25603,193,-166,3,Clothing,Saree
13,B25603,180,5,3,Clothing,Trousers
14,B25603,116,16,4,Clothing,Stole
15,B25603,107,36,6,Clothing,Stole
16,B25603,12,1,2,Clothing,Hankerchief
17,B25603,38,18,1,Clothing,Kurti
18,B25604,65,17,2,Clothing,T-shirt
19,B25604,157,5,9,Clothing,Saree
20,B25605,75,0,7,Clothing,Saree
21,B25606,87,4,2,Clothing,Shirt
22,B25607,50,15,4,Clothing,Leggings
23,B25608,1364,-1864,5,Furniture,Tables
24,B25608,476,0,3,Furniture,Chairs
25,B25608,257,23,5,Clothing,Hankerchief
26,B25608,856,385,6,Electronics,Printers
27,B25609,485,29,4,Electronics,Electronic Games
28,B25609,25,-5,4,Clothing,Saree
29,B25610,1076,-38,4,Electronics,Printers
30,B25610,107,-54,4,Clothing,Stole
31,B25610,68,-55,5,Electronics,Accessories
32,B25610,781,-594,6,Electronics,Printers
33,B25610,43,0,3,Clothing,Saree
34,B25610,30,-5,2,Furniture,Furnishings
35,B25611,160,-59,2,Clothing,Saree
36,B25612,259,-55,2,Furniture,Chairs
37,B25613,1603,0,9,Clothing,Saree
38,B25614,494,54,4,Furniture,Bookcases
39,B25614,98,-12,2,Electronics,Electronic Games
40,B25615,68,20,5,Clothing,Hankerchief
41,B25616,42,12,5,Clothing,Hankerchief
42,B25616,116,-56,5,Clothing,Stole
43,B25616,22,-2,3,Clothing,Hankerchief
44,B25616,14,-2,3,Clothing,Hankerchief
45,B25617,305,-270,5,Electronics,Electronic Games
46,B25618,362,127,1,Furniture,Bookcases
47,B25618,12,0,2,Clothing,Hankerchief
48,B25619,353,90,8,Clothing,Saree
49,B25620,193,46,1,Electronics,Printers
50,B25621,233,-10,5,Electronics,Electronic Games
51,B25621,228,63,3,Electronics,Electronic Games
52,B25621,333,-15,3,Electronics,Phones
53,B25622,534,0,3,Clothing,Saree
54,B25623,53,1,4,Clothing,Stole
55,B25623,158,69,3,Clothing,Stole
56,B25623,149,-87,4,Clothing,Saree
57,B25623,105,20,2,Clothing,Stole
58,B25624,26,12,3,Clothing,Hankerchief
59,B25625,97,29,2,Clothing,Hankerchief
60,B25625,59,30,3,Clothing,Leggings
61,B25625,635,-349,5,Clothing,Saree
62,B25626,46,-14,1,Electronics,Phones
63,B25626,1103,-276,3,Furniture,Chairs
64,B25627,55,-39,4,Clothing,Stole
65,B25628,45,13,4,Clothing,Skirt
66,B25628,24,-9,4,Clothing,Saree
67,B25628,35,-8,2,Furniture,Furnishings
68,B25629,1560,421,3,Clothing,Trousers
69,B25630,133,12,5,Clothing,Stole
70,B25630,114,-39,5,Clothing,Kurti
71,B25630,143,-129,2,Electronics,Phones
72,B25630,40,-7,3,Clothing,Stole
73,B25630,34,-22,4,Clothing,T-shirt
74,B25630,42,-26,2,Clothing,Kurti
75,B25631,89,-89,2,Furniture,Furnishings
76,B25632,19,-2,2,Clothing,Leggings
77,B25633,249,-130,4,Electronics,Phones
78,B25633,711,-8,4,Clothing,Saree
79,B25633,496,-79,2,Clothing,Trousers
80,B25634,389,-83,3,Furniture,Chairs
81,B25635,40,16,3,Clothing,Hankerchief
82,B25635,23,2,2,Clothing,Skirt
83,B25635,382,30,3,Clothing,Saree
84,B25636,637,113,5,Clothing,Saree
85,B25637,117,14,3,Clothing,Shirt
86,B25638,182,-11,3,Furniture,Bookcases
87,B25638,880,97,8,Furniture,Furnishings
88,B25638,154,39,3,Clothing,Hankerchief
89,B25638,816,-96,3,Electronics,Printers
90,B25639,1629,-153,3,Electronics,Phones
91,B25640,68,-62,2,Clothing,Trousers
92,B25640,314,-239,13,Clothing,Hankerchief
93,B25640,122,-47,4,Clothing,Saree
94,B25641,22,-6,1,Furniture,Furnishings
95,B25642,434,26,11,Clothing,Shirt
96,B25643,1061,-36,8,Furniture,Bookcases
97,B25643,50,-44,2,Clothing,Hankerchief
98,B25643,37,-23,4,Clothing,Shirt
99,B25643,263,-63,2,Electronics,Electronic Games
100,B25643,36,-7,1,Electronics,Electronic Games
101,B25644,76,-92,8,Furniture,Furnishings
102,B25645,273,-87,4,Electronics,Phones
103,B25645,86,0,4,Clothing,T-shirt
104,B25645,133,-42,1,Electronics,Printers
105,B25645,183,-66,5,Electronics,Phones
106,B25646,20,-8,2,Clothing,Saree
107,B25647,42,-6,4,Clothing,Saree
108,B25648,100,-23,1,Electronics,Phones
109,B25648,30,13,1,Clothing,T-shirt
110,B25648,55,-26,4,Clothing,Saree
111,B25648,130,-41,4,Clothing,Saree
112,B25649,27,-25,2,Clothing,Stole
113,B25650,245,-78,2,Electronics,Printers
114,B25650,211,-105,2,Clothing,Saree
115,B25650,31,-2,2,Clothing,Saree
116,B25650,28,-26,2,Clothing,Stole
117,B25650,512,-225,5,Clothing,Saree
118,B25650,925,-447,5,Electronics,Electronic Games
119,B25650,238,20,2,Clothing,Saree
120,B25650,351,-47,8,Electronics,Phones
121,B25650,269,111,3,Clothing,Trousers
122,B25651,200,-60,4,Furniture,Bookcases
123,B25651,44,-8,3,Clothing,Stole
124,B25651,7,0,1,Clothing,Leggings
125,B25651,11,-4,2,Clothing,Skirt
126,B25651,16,-10,2,Clothing,T-shirt
127,B25651,172,-103,3,Furniture,Chairs
128,B25651,49,3,1,Clothing,Shirt
129,B25651,823,-18,7,Furniture,Chairs
130,B25651,23,4,1,Clothing,Saree
131,B25651,457,-41,4,Clothing,Saree
132,B25652,24,-21,7,Clothing,Skirt
133,B25652,25,-2,5,Clothing,Hankerchief
134,B25652,174,-70,3,Electronics,Accessories
135,B25652,206,-206,3,Clothing,Saree
136,B25652,21,-13,3,Clothing,Leggings
137,B25652,34,-6,4,Clothing,Leggings
138,B25652,9,-6,2,Clothing,Hankerchief
139,B25653,1279,-640,8,Electronics,Printers
140,B25653,28,-3,2,Clothing,Saree
141,B25653,427,-50,7,Electronics,Phones
142,B25653,168,-10,3,Electronics,Accessories
143,B25653,1327,318,8,Furniture,Chairs
144,B25653,195,-117,5,Electronics,Phones
145,B25653,115,25,1,Electronics,Accessories
146,B25653,668,-31,3,Electronics,Printers
147,B25653,227,102,8,Electronics,Accessories
148,B25654,34,12,3,Clothing,Hankerchief
149,B25654,229,-23,2,Clothing,Saree
150,B25654,54,-3,3,Clothing,Saree
151,B25654,269,-86,2,Electronics,Electronic Games
152,B25654,122,-21,3,Furniture,Furnishings
153,B25654,105,46,2,Clothing,Stole
154,B25654,450,-90,3,Electronics,Printers
155,B25654,121,-17,3,Furniture,Furnishings
156,B25655,44,-26,3,Clothing,Hankerchief
157,B25655,7,-4,3,Clothing,Hankerchief
158,B25655,396,-31,9,Clothing,Saree
159,B25655,97,-62,2,Clothing,Trousers
160,B25655,110,-68,4,Clothing,Saree
161,B25655,312,-312,7,Furniture,Chairs
162,B25655,9,-6,2,Clothing,Skirt
163,B25655,6,-3,1,Clothing,Hankerchief
164,B25655,74,23,8,Clothing,Skirt
165,B25656,534,0,3,Clothing,Saree
166,B25656,30,-5,5,Clothing,Stole
167,B25656,61,-23,2,Clothing,Saree
168,B25656,6,3,1,Clothing,Hankerchief
169,B25656,24,-1,2,Clothing,Hankerchief
170,B25656,56,18,2,Clothing,Hankerchief
171,B25656,406,126,2,Clothing,Saree
172,B25656,624,37,2,Electronics,Electronic Games
173,B25656,101,18,9,Clothing,Skirt
174,B25656,1389,680,7,Clothing,Saree
175,B25656,651,169,5,Electronics,Printers
176,B25656,13,-1,3,Clothing,Hankerchief
177,B25657,1021,-48,4,Electronics,Electronic Games
178,B25657,32,-22,5,Clothing,Saree
179,B25657,332,-43,6,Electronics,Phones
180,B25657,288,-180,4,Furniture,Chairs
181,B25658,27,9,2,Clothing,T-shirt
182,B25659,148,72,7,Clothing,T-shirt
183,B25660,245,-78,3,Clothing,Saree
184,B25661,19,-15,3,Clothing,Hankerchief
185,B25661,224,-81,3,Furniture,Chairs
186,B25661,58,-42,2,Furniture,Chairs
187,B25661,145,-104,5,Furniture,Chairs
188,B25661,55,-33,2,Furniture,Chairs
189,B25661,7,-1,2,Clothing,Hankerchief
190,B25662,24,-2,2,Clothing,T-shirt
191,B25662,86,-21,1,Electronics,Electronic Games
192,B25662,385,-77,11,Furniture,Furnishings
193,B25663,294,138,2,Electronics,Printers
194,B25664,444,-200,4,Electronics,Phones
195,B25664,785,52,2,Electronics,Phones
196,B25664,258,-27,2,Electronics,Phones
197,B25664,83,-48,1,Furniture,Bookcases
198,B25665,166,-113,4,Electronics,Accessories
199,B25666,934,-916,7,Electronics,Electronic Games
200,B25667,11,-2,4,Clothing,Hankerchief
201,B25667,41,6,5,Clothing,Skirt
202,B25667,344,-34,3,Clothing,Saree
203,B25667,1030,206,8,Electronics,Printers
204,B25667,516,69,4,Furniture,Bookcases
205,B25668,123,17,3,Furniture,Furnishings
206,B25669,610,-66,2,Furniture,Tables
207,B25670,74,29,3,Clothing,Stole
208,B25670,24,1,2,Clothing,Hankerchief
209,B25670,14,2,1,Clothing,Hankerchief
210,B25670,656,-36,2,Furniture,Bookcases
211,B25671,832,0,3,Clothing,Trousers
212,B25672,27,-15,1,Clothing,Stole
213,B25673,143,-124,5,Clothing,Saree
214,B25673,44,-17,5,Clothing,Saree
215,B25673,45,-2,4,Clothing,Shirt
216,B25673,16,-1,1,Clothing,Saree
217,B25673,37,-5,3,Clothing,T-shirt
218,B25674,17,-12,5,Clothing,Skirt
219,B25675,929,-93,9,Clothing,Saree
220,B25676,342,-103,4,Electronics,Electronic Games
221,B25676,1263,-56,5,Clothing,Trousers
222,B25676,674,-187,2,Furniture,Tables
223,B25676,32,6,3,Clothing,Shirt
224,B25676,79,36,4,Clothing,Shirt
225,B25677,20,-2,1,Electronics,Accessories
226,B25678,64,-7,3,Clothing,Saree
227,B25678,7,-3,2,Clothing,Skirt
228,B25678,327,-39,1,Electronics,Phones
229,B25678,27,-25,2,Clothing,Shirt
230,B25679,76,-50,1,Clothing,Saree
231,B25680,73,-25,3,Clothing,Saree
232,B25681,68,-27,3,Electronics,Accessories
233,B25681,523,204,7,Clothing,Trousers
234,B25681,44,-3,1,Clothing,Saree
235,B25681,243,-14,2,Furniture,Chairs
236,B25681,1625,-77,3,Electronics,Phones
237,B25681,1096,-658,7,Electronics,Electronic Games
238,B25682,545,-73,11,Electronics,Phones
239,B25683,433,26,3,Electronics,Printers
240,B25683,245,-3,4,Electronics,Phones
241,B25683,155,56,3,Furniture,Furnishings
242,B25683,148,52,5,Clothing,Stole
243,B25683,86,-55,6,Clothing,Saree
244,B25684,134,42,2,Furniture,Chairs
245,B25685,51,7,2,Furniture,Furnishings
246,B25685,529,137,3,Electronics,Phones
247,B25685,264,-30,3,Furniture,Furnishings
248,B25685,45,-2,4,Clothing,Shirt
249,B25686,381,-13,2,Clothing,Saree
250,B25686,332,-503,3,Electronics,Printers
251,B25686,1829,-56,6,Furniture,Tables
252,B25687,17,6,1,Clothing,Stole
253,B25687,357,139,2,Clothing,Saree
254,B25687,51,21,3,Clothing,T-shirt
255,B25687,387,-213,5,Clothing,Saree
256,B25687,14,-1,4,Clothing,Kurti
257,B25688,352,-345,5,Clothing,Saree
258,B25689,469,-459,3,Electronics,Electronic Games
259,B25689,97,17,2,Clothing,Stole
260,B25689,149,36,3,Clothing,Stole
261,B25690,31,10,3,Clothing,Skirt
262,B25691,714,56,4,Clothing,Saree
263,B25691,75,-25,3,Clothing,Stole
264,B25691,17,-9,3,Clothing,Stole
265,B25692,141,28,7,Furniture,Furnishings
266,B25693,76,-72,9,Clothing,Hankerchief
267,B25693,632,-316,6,Clothing,Saree
268,B25693,32,-16,6,Clothing,Saree
269,B25693,68,-30,1,Electronics,Phones
270,B25693,82,-39,5,Clothing,T-shirt
271,B25693,72,-49,1,Electronics,Phones
272,B25693,13,-13,2,Clothing,Skirt
273,B25694,167,43,7,Clothing,T-shirt
274,B25695,171,14,9,Clothing,Shirt
275,B25696,117,-6,3,Electronics,Phones
276,B25696,116,-4,1,Clothing,Saree
277,B25696,887,80,3,Electronics,Printers
278,B25696,275,-275,4,Clothing,Saree
279,B25696,44,7,3,Clothing,Kurti
280,B25696,168,-9,3,Clothing,Saree
281,B25697,114,8,3,Electronics,Accessories
282,B25697,1300,-16,8,Electronics,Printers
283,B25697,4,-3,1,Clothing,Skirt
284,B25697,73,-7,1,Electronics,Phones
285,B25697,67,-42,3,Clothing,Stole
286,B25697,322,-193,5,Electronics,Printers
287,B25697,115,-39,3,Clothing,Trousers
288,B25698,87,-83,5,Clothing,Kurti
289,B25698,27,-6,4,Clothing,Hankerchief
290,B25698,207,-153,3,Clothing,Saree
291,B25698,516,-392,8,Furniture,Chairs
292,B25698,7,-2,1,Clothing,Hankerchief
293,B25698,65,-16,2,Electronics,Phones
294,B25699,20,-22,1,Furniture,Furnishings
295,B25699,49,-31,2,Clothing,Stole
296,B25699,34,-13,5,Clothing,Leggings
297,B25699,21,-5,1,Electronics,Accessories
298,B25700,129,-75,5,Clothing,Shirt
299,B25700,44,-32,3,Clothing,Stole
300,B25700,7,-3,2,Clothing,Hankerchief
301,B25701,10,-8,2,Clothing,Skirt
302,B25701,33,-29,3,Clothing,Shirt
303,B25701,98,-45,2,Furniture,Chairs
304,B25701,33,-12,5,Clothing,Hankerchief
305,B25702,75,0,3,Clothing,Shirt
306,B25702,424,-17,9,Furniture,Chairs
307,B25702,31,-3,4,Clothing,Saree
308,B25702,941,-203,3,Furniture,Tables
309,B25702,306,-147,3,Clothing,Saree
310,B25703,42,-23,2,Furniture,Furnishings
311,B25703,17,-3,2,Clothing,Stole
312,B25703,32,-5,5,Clothing,Hankerchief
313,B25703,231,-190,9,Clothing,Hankerchief
314,B25703,22,-15,4,Clothing,Kurti
315,B25703,97,-45,4,Clothing,Saree
316,B25703,47,-27,4,Clothing,Saree
317,B25703,186,-141,9,Clothing,Shirt
318,B25704,126,-63,3,Electronics,Accessories
319,B25704,102,0,3,Electronics,Phones
320,B25705,46,0,2,Electronics,Electronic Games
321,B25706,31,-11,4,Clothing,Stole
322,B25707,8,-6,1,Clothing,Stole
323,B25708,191,13,8,Furniture,Furnishings
324,B25708,709,-100,5,Electronics,Phones
325,B25708,81,-51,7,Clothing,Stole
326,B25708,32,-8,2,Clothing,Stole
327,B25709,33,-12,7,Clothing,Saree
328,B25709,41,-6,1,Furniture,Chairs
329,B25710,216,-38,6,Furniture,Furnishings
330,B25710,616,-69,7,Furniture,Furnishings
331,B25710,10,-1,1,Clothing,Leggings
332,B25710,25,0,4,Clothing,Skirt
333,B25710,53,-18,4,Clothing,T-shirt
334,B25710,13,-8,1,Clothing,T-shirt
335,B25711,100,-58,4,Clothing,Hankerchief
336,B25712,193,-275,3,Electronics,Phones
337,B25713,158,-63,4,Furniture,Chairs
338,B25714,11,-5,2,Clothing,Hankerchief
339,B25714,340,20,7,Clothing,Shirt
340,B25715,416,137,3,Electronics,Phones
341,B25716,58,0,4,Clothing,Saree
342,B25717,561,212,3,Clothing,Saree
343,B25717,138,-3,5,Clothing,Saree
344,B25717,90,17,3,Clothing,Shirt
345,B25717,55,-33,2,Furniture,Chairs
346,B25718,371,115,1,Furniture,Bookcases
347,B25718,460,31,3,Furniture,Bookcases
348,B25719,29,10,2,Clothing,Stole
349,B25720,30,-35,1,Furniture,Chairs
350,B25721,29,-18,7,Clothing,Skirt
351,B25721,191,51,5,Clothing,Shirt
352,B25721,149,-40,2,Electronics,Phones
353,B25722,48,-8,8,Clothing,Stole
354,B25723,26,-24,1,Clothing,Stole
355,B25723,16,-12,2,Clothing,Stole
356,B25723,12,-7,2,Clothing,Leggings
357,B25723,76,-54,3,Electronics,Electronic Games
358,B25724,168,-51,2,Furniture,Bookcases
359,B25725,23,-5,7,Clothing,Hankerchief
360,B25725,26,-5,2,Clothing,Stole
361,B25725,144,-7,4,Electronics,Electronic Games
362,B25726,490,-128,8,Furniture,Bookcases
363,B25727,57,-48,6,Clothing,Leggings
364,B25727,327,114,4,Clothing,Trousers
365,B25728,1055,264,4,Electronics,Printers
366,B25728,771,-424,2,Electronics,Phones
367,B25728,322,-113,4,Clothing,Saree
368,B25729,1549,-439,4,Electronics,Phones
369,B25730,1145,-706,3,Electronics,Phones
370,B25730,473,42,4,Furniture,Chairs
371,B25730,96,22,5,Clothing,Stole
372,B25730,18,8,2,Clothing,Hankerchief
373,B25730,187,30,4,Electronics,Accessories
374,B25730,83,-81,3,Furniture,Chairs
375,B25731,131,-154,8,Furniture,Furnishings
376,B25732,16,-5,2,Clothing,Stole
377,B25733,43,-43,7,Clothing,Stole
378,B25733,30,-10,2,Clothing,Stole
379,B25733,23,-6,4,Clothing,Hankerchief
380,B25734,108,-19,3,Electronics,Electronic Games
381,B25735,12,-2,3,Clothing,Hankerchief
382,B25735,7,-1,2,Clothing,Skirt
383,B25735,15,-7,1,Clothing,Hankerchief
384,B25736,31,-7,5,Clothing,Skirt
385,B25737,187,-15,3,Clothing,Trousers
386,B25738,70,-14,2,Furniture,Furnishings
387,B25738,72,-6,3,Clothing,Saree
388,B25738,1069,0,6,Clothing,Saree
389,B25738,148,-91,2,Electronics,Phones
390,B25739,133,-56,2,Furniture,Chairs
391,B25740,40,-37,3,Clothing,Stole
392,B25740,7,0,2,Clothing,Skirt
393,B25740,58,-8,2,Clothing,Saree
394,B25741,482,-6,7,Electronics,Electronic Games
395,B25742,11,-8,2,Clothing,Skirt
396,B25743,143,-124,5,Clothing,Saree
397,B25743,9,-5,1,Clothing,Saree
398,B25743,503,-56,2,Clothing,Trousers
399,B25743,74,-51,3,Clothing,Stole
400,B25743,56,0,4,Clothing,Hankerchief
401,B25744,373,-254,6,Electronics,Printers
402,B25745,44,-8,3,Clothing,Stole
403,B25745,296,-225,11,Clothing,Saree
404,B25745,670,15,5,Furniture,Bookcases
405,B25745,132,-79,5,Furniture,Furnishings
406,B25746,87,16,2,Clothing,Saree
407,B25747,877,395,2,Furniture,Bookcases
408,B25748,141,10,4,Clothing,Shirt
409,B25748,224,58,3,Electronics,Phones
410,B25748,8,-1,2,Clothing,Leggings
411,B25748,47,-21,2,Electronics,Electronic Games
412,B25749,1052,-82,3,Furniture,Bookcases
413,B25750,212,-24,2,Furniture,Chairs
414,B25750,42,-15,12,Clothing,Skirt
415,B25750,208,-25,2,Clothing,Saree
416,B25750,22,-12,3,Clothing,Stole
417,B25750,539,-146,7,Furniture,Furnishings
418,B25750,78,-6,2,Furniture,Furnishings
419,B25750,20,-18,2,Clothing,Saree
420,B25750,19,-1,1,Clothing,Shirt
421,B25750,73,-31,1,Furniture,Bookcases
422,B25751,10,-8,1,Clothing,Kurti
423,B25751,14,-3,2,Clothing,Leggings
424,B25751,68,-56,2,Electronics,Phones
425,B25751,106,0,2,Electronics,Phones
426,B25751,43,-5,2,Clothing,Saree
427,B25751,43,21,3,Clothing,Shirt
428,B25751,534,5,2,Electronics,Electronic Games
429,B25751,32,7,3,Clothing,Hankerchief
430,B25751,65,-4,6,Clothing,Hankerchief
431,B25751,221,-15,2,Electronics,Electronic Games
432,B25752,1361,197,9,Furniture,Bookcases
433,B25752,761,266,9,Electronics,Electronic Games
434,B25752,76,27,5,Clothing,Stole
435,B25752,91,15,6,Clothing,T-shirt
436,B25752,8,-2,2,Clothing,Hankerchief
437,B25752,735,-235,6,Electronics,Printers
438,B25752,33,-27,1,Furniture,Chairs
439,B25753,62,-56,5,Clothing,Kurti
440,B25753,27,-20,2,Clothing,Hankerchief
441,B25753,65,-52,3,Electronics,Accessories
442,B25753,47,-114,5,Furniture,Furnishings
443,B25753,341,-85,6,Clothing,Trousers
444,B25753,107,31,5,Clothing,T-shirt
445,B25753,154,22,7,Clothing,T-shirt
446,B25753,620,82,6,Electronics,Accessories
447,B25753,77,-43,8,Clothing,Stole
448,B25754,72,-46,7,Clothing,Kurti
449,B25754,41,-14,5,Clothing,Leggings
450,B25754,30,-23,2,Clothing,Saree
451,B25754,93,-65,4,Clothing,Stole
452,B25754,19,0,3,Clothing,Skirt
453,B25754,9,-1,3,Clothing,Skirt
454,B25754,319,-312,5,Clothing,Saree
455,B25754,262,-215,2,Electronics,Printers
456,B25755,37,-53,3,Clothing,Saree
457,B25755,257,-3,2,Furniture,Bookcases
458,B25755,80,-19,5,Clothing,Stole
459,B25755,321,-315,5,Clothing,Saree
460,B25755,47,-3,2,Clothing,Stole
461,B25755,593,213,4,Furniture,Bookcases
462,B25755,134,-34,2,Furniture,Chairs
463,B25755,1709,564,3,Clothing,Trousers
464,B25755,27,4,2,Clothing,Saree
465,B25756,465,-33,4,Electronics,Phones
466,B25756,643,-45,2,Electronics,Printers
467,B25756,204,-276,3,Furniture,Bookcases
468,B25756,729,-492,5,Furniture,Bookcases
469,B25756,29,-24,4,Clothing,Leggings
470,B25757,17,-13,4,Clothing,Skirt
471,B25757,34,-11,5,Clothing,T-shirt
472,B25757,98,9,2,Furniture,Furnishings
473,B25757,3151,-35,7,Clothing,Trousers
474,B25757,53,15,2,Clothing,Stole
475,B25757,165,30,3,Clothing,Stole
476,B25757,211,19,8,Clothing,Stole
477,B25757,106,15,7,Clothing,Hankerchief
478,B25757,14,5,1,Clothing,Hankerchief
479,B25757,17,7,3,Clothing,Hankerchief
480,B25757,46,14,5,Clothing,Skirt
481,B25758,8,-2,1,Clothing,Stole
482,B25759,20,-9,6,Clothing,Hankerchief
483,B25760,322,-193,5,Electronics,Printers
484,B25761,2188,1050,5,Furniture,Bookcases
485,B25761,328,-15,3,Electronics,Electronic Games
486,B25761,418,70,7,Electronics,Phones
487,B25761,40,0,3,Clothing,Saree
488,B25761,102,-90,1,Clothing,Saree
489,B25761,263,-31,9,Electronics,Electronic Games
490,B25762,1316,-527,7,Electronics,Electronic Games
491,B25762,27,4,3,Clothing,Skirt
492,B25762,98,-5,2,Clothing,Saree
493,B25763,58,-52,3,Furniture,Chairs
494,B25764,119,43,5,Clothing,T-shirt
495,B25764,765,-153,2,Electronics,Phones
496,B25764,26,0,2,Clothing,Kurti
497,B25764,24,-24,2,Clothing,Saree
498,B25765,139,14,3,Clothing,Stole
499,B25766,220,-19,2,Clothing,Saree
500,B25767,299,-28,3,Electronics,Electronic Games
501,B25767,9,-9,2,Clothing,Kurti
502,B25767,74,-59,2,Electronics,Accessories
503,B25767,29,-3,3,Clothing,Saree
